"1961 Hallstahammar",7227
"1962 Norberg",2566
"1980 Västerås",71545
"1981 Sala",10600
"1982 Fagersta",5842
"1983 Köping",11797
"1984 Arboga",6349
"2021 Vansbro",3187
"2023 Malung-Sälen",5028
"2026 Gagnef",4966
"2029 Leksand",7581
"2031 Rättvik",5089
"2034 Orsa",3218
"2039 Älvdalen",3353
"2061 Smedjebacken",5070
"2062 Mora",9966
"2080 Falun",28677
"2081 Borlänge",23977
"2082 Säter",5521
"2083 Hedemora",7077
"2084 Avesta",10357
"2085 Ludvika",11952
"2101 Ockelbo",2725
"2104 Hofors",4336
"2121 Ovanåker",5561
"2132 Nordanstig",4522
"2161 Ljusdal",8849
"2180 Gävle",47950
"2181 Sandviken",17254
"2182 Söderhamn",11391
"2183 Bollnäs",12211
"2184 Hudiksvall",17789
"2260 Ånge",4500
"2262 Timrå",8620
"2280 Härnösand",11116
"2281 Sundsvall",48737
"2282 Kramfors",8255
"2283 Sollefteå",8809
"2284 Örnsköldsvik",26946
"2303 Ragunda",2465
"2305 Bräcke",2980
"2309 Krokom",7495
"2313 Strömsund",5523
"2321 Åre",6120
"2326 Berg",3464
"2361 Härjedalen",5067
"2380 Östersund",31597
"2401 Nordmaling",3331
"2403 Bjurholm",1138
"2404 Vindeln",2572
"2409 Robertsfors",3326
"2417 Norsjö",1923
"2418 Malå",1553
"2421 Storuman",2818
"2422 Sorsele",1267
"2425 Dorotea",1225
"2460 Vännäs",4292
"2462 Vilhelmina",3149
"2463 Åsele",1197
"2480 Umeå",64040
"2481 Lycksele",5917
"2482 Skellefteå",35884
"2505 Arvidsjaur",3108
"2506 Arjeplog",1452
"2510 Jokkmokk",2589
"2513 Överkalix",1564
"2514 Kalix",7662
"2518 Övertorneå",1986
"2521 Pajala",2667
"2523 Gällivare",9383
"2560 Älvsbyn",3845
"2580 Luleå",39350
"2581 Piteå",20776
"2582 Boden",13908
"2583 Haparanda",3838
"2584 Kiruna",12422
