"region","år",Förvärvsarbetande 16+ år med bostad i regionen (nattbefolkning) (RAMS)
"0180 Stockholm","2017",507717
"0181 Södertälje","2008",38552
"0181 Södertälje","2009",37003
"0181 Södertälje","2010",37990
"0181 Södertälje","2011",39291
"0181 Södertälje","2012",40315
"0181 Södertälje","2013",40918
"0181 Södertälje","2014",41338
"0181 Södertälje","2015",42230
"0181 Södertälje","2016",43655
"0181 Södertälje","2017",44953
"0182 Nacka","2008",43061
"0182 Nacka","2009",43236
"0182 Nacka","2010",44792
"0182 Nacka","2011",45748
"0182 Nacka","2012",46705
"0182 Nacka","2013",47508
"0182 Nacka","2014",48316
"0182 Nacka","2015",49315
"0182 Nacka","2016",50167
"0182 Nacka","2017",51040
"0183 Sundbyberg","2008",19258
"0183 Sundbyberg","2009",19472
"0183 Sundbyberg","2010",20254
"0183 Sundbyberg","2011",20859
"0183 Sundbyberg","2012",21632
"0183 Sundbyberg","2013",22646
"0183 Sundbyberg","2014",23592
"0183 Sundbyberg","2015",25032
"0183 Sundbyberg","2016",26277
"0183 Sundbyberg","2017",27504
"0184 Solna","2008",34876
"0184 Solna","2009",34852
"0184 Solna","2010",35967
"0184 Solna","2011",37137
"0184 Solna","2012",38284
"0184 Solna","2013",39368
"0184 Solna","2014",40147
"0184 Solna","2015",41688
"0184 Solna","2016",43074
"0184 Solna","2017",44035
"0186 Lidingö","2008",20343
"0186 Lidingö","2009",19996
"0186 Lidingö","2010",20497
"0186 Lidingö","2011",20610
"0186 Lidingö","2012",20944
"0186 Lidingö","2013",21284
"0186 Lidingö","2014",21296
"0186 Lidingö","2015",21844
"0186 Lidingö","2016",22176
"0186 Lidingö","2017",22315
"0187 Vaxholm","2008",5349
"0187 Vaxholm","2009",5342
"0187 Vaxholm","2010",5363
"0187 Vaxholm","2011",5502
"0187 Vaxholm","2012",5540
"0187 Vaxholm","2013",5604
"0187 Vaxholm","2014",5614
"0187 Vaxholm","2015",5634
"0187 Vaxholm","2016",5697
"0187 Vaxholm","2017",5810
"0188 Norrtälje","2008",26234
"0188 Norrtälje","2009",25598
"0188 Norrtälje","2010",26314
"0188 Norrtälje","2011",27110
"0188 Norrtälje","2012",27409
"0188 Norrtälje","2013",27504
"0188 Norrtälje","2014",27687
"0188 Norrtälje","2015",28226
"0188 Norrtälje","2016",28667
"0188 Norrtälje","2017",29127
"0191 Sigtuna","2008",18794
"0191 Sigtuna","2009",18342
"0191 Sigtuna","2010",18938
"0191 Sigtuna","2011",19873
"0191 Sigtuna","2012",20569
"0191 Sigtuna","2013",21120
"0191 Sigtuna","2014",21575
"0191 Sigtuna","2015",21967
"0191 Sigtuna","2016",22839
"0191 Sigtuna","2017",23418
"0192 Nynäshamn","2008",12041
"0192 Nynäshamn","2009",11806
"0192 Nynäshamn","2010",12110
"0192 Nynäshamn","2011",12316
"0192 Nynäshamn","2012",12559
"0192 Nynäshamn","2013",12644
"0192 Nynäshamn","2014",12784
"0192 Nynäshamn","2015",13051
"0192 Nynäshamn","2016",13380
"0192 Nynäshamn","2017",13471
"0305 Håbo","2008",9864
"0305 Håbo","2009",9690
"0305 Håbo","2010",9894
"0305 Håbo","2011",10028
"0305 Håbo","2012",10081
"0305 Håbo","2013",10092
"0305 Håbo","2014",10042
"0305 Håbo","2015",10175
"0305 Håbo","2016",10378
"0305 Håbo","2017",10623
"0319 Älvkarleby","2008",4047
"0319 Älvkarleby","2009",3924
"0319 Älvkarleby","2010",4047
"0319 Älvkarleby","2011",4018
"0319 Älvkarleby","2012",3998
"0319 Älvkarleby","2013",4047
"0319 Älvkarleby","2014",4066
