"region","år",Förvärvsarbetande 16+ år med bostad i regionen (nattbefolkning) (RAMS)
"0882 Oskarshamn","2010",12545
"0882 Oskarshamn","2011",12641
"0882 Oskarshamn","2012",12601
"0882 Oskarshamn","2013",12744
"0882 Oskarshamn","2014",12673
"0882 Oskarshamn","2015",12793
"0882 Oskarshamn","2016",12996
"0882 Oskarshamn","2017",13037
"0883 Västervik","2008",16285
"0883 Västervik","2009",15612
"0883 Västervik","2010",16022
"0883 Västervik","2011",16484
"0883 Västervik","2012",16274
"0883 Västervik","2013",16111
"0883 Västervik","2014",16202
"0883 Västervik","2015",16283
"0883 Västervik","2016",16299
"0883 Västervik","2017",16406
"0884 Vimmerby","2008",7602
"0884 Vimmerby","2009",7253
"0884 Vimmerby","2010",7420
"0884 Vimmerby","2011",7571
"0884 Vimmerby","2012",7547
"0884 Vimmerby","2013",7520
"0884 Vimmerby","2014",7513
"0884 Vimmerby","2015",7559
"0884 Vimmerby","2016",7589
"0884 Vimmerby","2017",7680
"0885 Borgholm","2008",4779
"0885 Borgholm","2009",4695
"0885 Borgholm","2010",4753
"0885 Borgholm","2011",4839
"0885 Borgholm","2012",4864
"0885 Borgholm","2013",4861
"0885 Borgholm","2014",4798
"0885 Borgholm","2015",4823
"0885 Borgholm","2016",4895
"0885 Borgholm","2017",4942
"0980 Gotland","2008",27195
"0980 Gotland","2009",26785
"0980 Gotland","2010",27150
"0980 Gotland","2011",27951
"0980 Gotland","2012",27912
"0980 Gotland","2013",27907
"0980 Gotland","2014",27972
"0980 Gotland","2015",28126
"0980 Gotland","2016",28446
"0980 Gotland","2017",28801
"1060 Olofström","2008",5726
"1060 Olofström","2009",5227
"1060 Olofström","2010",5394
"1060 Olofström","2011",5639
"1060 Olofström","2012",5601
"1060 Olofström","2013",5675
"1060 Olofström","2014",5650
"1060 Olofström","2015",5773
"1060 Olofström","2016",5909
"1060 Olofström","2017",6050
"1080 Karlskrona","2008",29086
"1080 Karlskrona","2009",28263
"1080 Karlskrona","2010",28719
"1080 Karlskrona","2011",29130
"1080 Karlskrona","2012",29192
"1080 Karlskrona","2013",29322
"1080 Karlskrona","2014",29480
"1080 Karlskrona","2015",29914
"1080 Karlskrona","2016",30639
"1080 Karlskrona","2017",31244
"1081 Ronneby","2008",12817
"1081 Ronneby","2009",12183
"1081 Ronneby","2010",12215
"1081 Ronneby","2011",12431
"1081 Ronneby","2012",12285
"1081 Ronneby","2013",12293
"1081 Ronneby","2014",12235
"1081 Ronneby","2015",12159
"1081 Ronneby","2016",12559
"1081 Ronneby","2017",12705
"1082 Karlshamn","2008",14139
"1082 Karlshamn","2009",13564
"1082 Karlshamn","2010",13808
"1082 Karlshamn","2011",14076
"1082 Karlshamn","2012",13980
"1082 Karlshamn","2013",13943
"1082 Karlshamn","2014",14113
"1082 Karlshamn","2015",14233
"1082 Karlshamn","2016",14588
"1082 Karlshamn","2017",14812
"1083 Sölvesborg","2008",7679
"1083 Sölvesborg","2009",7252
"1083 Sölvesborg","2010",7415
"1083 Sölvesborg","2011",7587
"1083 Sölvesborg","2012",7556
"1083 Sölvesborg","2013",7603
"1083 Sölvesborg","2014",7626
"1083 Sölvesborg","2015",7786
"1083 Sölvesborg","2016",7958
"1083 Sölvesborg","2017",8082
"1214 Svalöv","2008",6237
"1214 Svalöv","2009",6007
"1214 Svalöv","2010",6118
"1214 Svalöv","2011",6226
"1214 Svalöv","2012",6266
"1214 Svalöv","2013",6280
"1214 Svalöv","2014",6357
"1214 Svalöv","2015",6508
"1214 Svalöv","2016",6582
"1214 Svalöv","2017",6664
"1230 Staffanstorp","2008",10580
"1230 Staffanstorp","2009",10369
"1230 Staffanstorp","2010",10557
"1230 Staffanstorp","2011",10609
"1230 Staffanstorp","2012",10797
"1230 Staffanstorp","2013",10883
"1230 Staffanstorp","2014",10936
"1230 Staffanstorp","2015",10997
"1230 Staffanstorp","2016",11253
"1230 Staffanstorp","2017",11484
"1231 Burlöv","2008",7053
"1231 Burlöv","2009",6871
"1231 Burlöv","2010",6965
"1231 Burlöv","2011",7077
"1231 Burlöv","2012",7189
"1231 Burlöv","2013",7273
"1231 Burlöv","2014",7264
"1231 Burlöv","2015",7392
"1231 Burlöv","2016",7554
"1231 Burlöv","2017",7786
"1233 Vellinge","2008",15403
"1233 Vellinge","2009",15108
"1233 Vellinge","2010",15272
"1233 Vellinge","2011",15468
"1233 Vellinge","2012",15619
"1233 Vellinge","2013",15674
"1233 Vellinge","2014",15693
"1233 Vellinge","2015",15994
"1233 Vellinge","2016",16268
"1233 Vellinge","2017",16553
"1256 Östra Göinge","2008",6262
"1256 Östra Göinge","2009",5796
"1256 Östra Göinge","2010",5988
"1256 Östra Göinge","2011",6098
"1256 Östra Göinge","2012",6097
"1256 Östra Göinge","2013",6088
"1256 Östra Göinge","2014",6109
"1256 Östra Göinge","2015",6147
"1256 Östra Göinge","2016",6179
"1256 Östra Göinge","2017",6245
"1257 Örkelljunga","2008",4327
"1257 Örkelljunga","2009",4128
"1257 Örkelljunga","2010",4170
"1257 Örkelljunga","2011",4343
"1257 Örkelljunga","2012",4324
"1257 Örkelljunga","2013",4347
"1257 Örkelljunga","2014",4311
"1257 Örkelljunga","2015",4364
"1257 Örkelljunga","2016",4457
"1257 Örkelljunga","2017",4545
"1260 Bjuv","2008",6393
"1260 Bjuv","2009",6178
"1260 Bjuv","2010",6217
"1260 Bjuv","2011",6389
"1260 Bjuv","2012",6403
"1260 Bjuv","2013",6457
"1260 Bjuv","2014",6460
"1260 Bjuv","2015",6591
"1260 Bjuv","2016",6793
"1260 Bjuv","2017",6872
"1261 Kävlinge","2008",14248
"1261 Kävlinge","2009",14053
"1261 Kävlinge","2010",14288
"1261 Kävlinge","2011",14448
"1261 Kävlinge","2012",14527
"1261 Kävlinge","2013",14490
"1261 Kävlinge","2014",14466
"1261 Kävlinge","2015",14721
"1261 Kävlinge","2016",14868
"1261 Kävlinge","2017",15079
"1262 Lomma","2008",9693
"1262 Lomma","2009",9753
"1262 Lomma","2010",10062
"1262 Lomma","2011",10333
"1262 Lomma","2012",10481
"1262 Lomma","2013",10496
"1262 Lomma","2014",10658
"1262 Lomma","2015",10868
"1262 Lomma","2016",11034
"1262 Lomma","2017",11186
"1263 Svedala","2008",9680
"1263 Svedala","2009",9602
"1263 Svedala","2010",9868
"1263 Svedala","2011",9927
"1263 Svedala","2012",9975
"1263 Svedala","2013",9939
"1263 Svedala","2014",9902
"1263 Svedala","2015",10020
"1263 Svedala","2016",10139
"1263 Svedala","2017",10269
"1264 Skurup","2008",6830
"1264 Skurup","2009",6684
"1264 Skurup","2010",6838
"1264 Skurup","2011",6977
"1264 Skurup","2012",7006
"1264 Skurup","2013",7011
"1264 Skurup","2014",7104
"1264 Skurup","2015",7174
"1264 Skurup","2016",7364
"1264 Skurup","2017",7503
"1265 Sjöbo","2008",8632
"1265 Sjöbo","2009",8432
"1265 Sjöbo","2010",8596
"1265 Sjöbo","2011",8849
"1265 Sjöbo","2012",8911
"1265 Sjöbo","2013",9025
"1265 Sjöbo","2014",8988
"1265 Sjöbo","2015",9082
"1265 Sjöbo","2016",9171
"1265 Sjöbo","2017",9325
"1266 Hörby","2008",6971
"1266 Hörby","2009",6831
"1266 Hörby","2010",7064
"1266 Hörby","2011",7280
"1266 Hörby","2012",7374
"1266 Hörby","2013",7318
"1266 Hörby","2014",7345
"1266 Hörby","2015",7385
"1266 Hörby","2016",7514
"1266 Hörby","2017",7616
"1267 Höör","2008",7078
"1267 Höör","2009",7015
"1267 Höör","2010",7198
"1267 Höör","2011",7393
"1267 Höör","2012",7437
"1267 Höör","2013",7461
"1267 Höör","2014",7560
"1267 Höör","2015",7766
"1267 Höör","2016",7893
"1267 Höör","2017",8009
"1270 Tomelilla","2008",5809
"1270 Tomelilla","2009",5697
"1270 Tomelilla","2010",5819
"1270 Tomelilla","2011",5999
"1270 Tomelilla","2012",6027
"1270 Tomelilla","2013",6022
"1270 Tomelilla","2014",6056
"1270 Tomelilla","2015",6143
"1270 Tomelilla","2016",6229
"1270 Tomelilla","2017",6275
"1272 Bromölla","2008",5543
"1272 Bromölla","2009",5247
"1272 Bromölla","2010",5378
"1272 Bromölla","2011",5484
"1272 Bromölla","2012",5451
"1272 Bromölla","2013",5437
"1272 Bromölla","2014",5442
"1272 Bromölla","2015",5520
"1272 Bromölla","2016",5640
"1272 Bromölla","2017",5638
"1273 Osby","2008",5768
"1273 Osby","2009",5473
"1273 Osby","2010",5637
"1273 Osby","2011",5861
"1273 Osby","2012",5787
"1273 Osby","2013",5773
"1273 Osby","2014",5812
"1273 Osby","2015",5888
"1273 Osby","2016",5993
"1273 Osby","2017",6057
"1275 Perstorp","2008",2923
"1275 Perstorp","2009",2769
"1275 Perstorp","2010",2838
"1275 Perstorp","2011",2901
"1275 Perstorp","2012",2906
"1275 Perstorp","2013",2968
"1275 Perstorp","2014",2920
"1275 Perstorp","2015",2966
"1275 Perstorp","2016",3014
"1275 Perstorp","2017",3064
"1276 Klippan","2008",7208
"1276 Klippan","2009",6893
"1276 Klippan","2010",7147
"1276 Klippan","2011",7341
"1276 Klippan","2012",7397
"1276 Klippan","2013",7419
"1276 Klippan","2014",7369
"1276 Klippan","2015",7584
"1276 Klippan","2016",7764
"1276 Klippan","2017",7904
"1277 Åstorp","2008",6484
"1277 Åstorp","2009",6246
"1277 Åstorp","2010",6303
"1277 Åstorp","2011",6464
"1277 Åstorp","2012",6458
"1277 Åstorp","2013",6503
"1277 Åstorp","2014",6556
"1277 Åstorp","2015",6669
"1277 Åstorp","2016",6807
"1277 Åstorp","2017",6930
"1278 Båstad","2008",6524
"1278 Båstad","2009",6387
"1278 Båstad","2010",6459
"1278 Båstad","2011",6600
"1278 Båstad","2012",6558
"1278 Båstad","2013",6615
"1278 Båstad","2014",6600
"1278 Båstad","2015",6576
"1278 Båstad","2016",6701
"1278 Båstad","2017",6750
"1280 Malmö","2008",118311
"1280 Malmö","2009",116528
"1280 Malmö","2010",121184
"1280 Malmö","2011",124750
"1280 Malmö","2012",128006
"1280 Malmö","2013",130911
"1280 Malmö","2014",134013
"1280 Malmö","2015",138042
"1280 Malmö","2016",142489
"1280 Malmö","2017",145430
"1281 Lund","2008",50227
"1281 Lund","2009",48805
"1281 Lund","2010",50150
"1281 Lund","2011",50766
"1281 Lund","2012",51582
"1281 Lund","2013",52014
"1281 Lund","2014",52111
"1281 Lund","2015",52867
"1281 Lund","2016",54036
"1281 Lund","2017",55168
"1282 Landskrona","2008",16822
"1282 Landskrona","2009",16106
"1282 Landskrona","2010",16664
"1282 Landskrona","2011",17227
"1282 Landskrona","2012",17485
"1282 Landskrona","2013",17629
"1282 Landskrona","2014",17884
"1282 Landskrona","2015",18185
"1282 Landskrona","2016",18755
"1282 Landskrona","2017",19193
"1283 Helsingborg","2008",57443
"1283 Helsingborg","2009",55797
"1283 Helsingborg","2010",57008
"1283 Helsingborg","2011",58396
"1283 Helsingborg","2012",59130
"1283 Helsingborg","2013",59670
"1283 Helsingborg","2014",60687
"1283 Helsingborg","2015",62074
"1283 Helsingborg","2016",64191
"1283 Helsingborg","2017",65551
"1284 Höganäs","2008",11087
"1284 Höganäs","2009",10816
"1284 Höganäs","2010",11015
"1284 Höganäs","2011",11199
"1284 Höganäs","2012",11322
"1284 Höganäs","2013",11433
"1284 Höganäs","2014",11406
"1284 Höganäs","2015",11528
"1284 Höganäs","2016",11596
"1284 Höganäs","2017",11801
"1285 Eslöv","2008",14688
"1285 Eslöv","2009",14219
"1285 Eslöv","2010",14553
"1285 Eslöv","2011",14891
"1285 Eslöv","2012",15016
"1285 Eslöv","2013",15084
"1285 Eslöv","2014",15184
"1285 Eslöv","2015",15299
"1285 Eslöv","2016",15642
"1285 Eslöv","2017",15801
"1286 Ystad","2008",13030
"1286 Ystad","2009",12786
"1286 Ystad","2010",13129
"1286 Ystad","2011",13463
"1286 Ystad","2012",13664
"1286 Ystad","2013",13705
"1286 Ystad","2014",13718
"1286 Ystad","2015",13816
"1286 Ystad","2016",13990
"1286 Ystad","2017",14078
"1287 Trelleborg","2008",19002
"1287 Trelleborg","2009",18560
"1287 Trelleborg","2010",19047
"1287 Trelleborg","2011",19507
"1287 Trelleborg","2012",19623
"1287 Trelleborg","2013",19608
"1287 Trelleborg","2014",19654
"1287 Trelleborg","2015",19771
"1287 Trelleborg","2016",20262
"1287 Trelleborg","2017",20721
"1290 Kristianstad","2008",35636
"1290 Kristianstad","2009",34551
"1290 Kristianstad","2010",35418
"1290 Kristianstad","2011",36185
"1290 Kristianstad","2012",36281
"1290 Kristianstad","2013",36391
"1290 Kristianstad","2014",36712
"1290 Kristianstad","2015",37323
"1290 Kristianstad","2016",38141
"1290 Kristianstad","2017",38806
"1291 Simrishamn","2008",8377
"1291 Simrishamn","2009",8081
"1291 Simrishamn","2010",8202
"1291 Simrishamn","2011",8386
"1291 Simrishamn","2012",8396
"1291 Simrishamn","2013",8361
"1291 Simrishamn","2014",8263
"1291 Simrishamn","2015",8357
"1291 Simrishamn","2016",8343
"1291 Simrishamn","2017",8403
"1292 Ängelholm","2008",18713
"1292 Ängelholm","2009",18272
"1292 Ängelholm","2010",18625
"1292 Ängelholm","2011",19131
"1292 Ängelholm","2012",19237
"1292 Ängelholm","2013",19272
"1292 Ängelholm","2014",19457
"1292 Ängelholm","2015",19774
"1292 Ängelholm","2016",20097
"1292 Ängelholm","2017",20254
"1293 Hässleholm","2008",22844
"1293 Hässleholm","2009",21967
"1293 Hässleholm","2010",22250
"1293 Hässleholm","2011",22806
"1293 Hässleholm","2012",22648
"1293 Hässleholm","2013",22757
"1293 Hässleholm","2014",22962
"1293 Hässleholm","2015",23263
"1293 Hässleholm","2016",23756
"1293 Hässleholm","2017",23980
"1315 Hylte","2008",4976
"1315 Hylte","2009",4736
"1315 Hylte","2010",4790
"1315 Hylte","2011",4940
"1315 Hylte","2012",4919
"1315 Hylte","2013",4827
"1315 Hylte","2014",4814
"1315 Hylte","2015",4812
"1315 Hylte","2016",4959
"1315 Hylte","2017",5074
"1380 Halmstad","2008",43444
"1380 Halmstad","2009",41949
"1380 Halmstad","2010",43240
"1380 Halmstad","2011",44010
"1380 Halmstad","2012",44679
"1380 Halmstad","2013",44989
"1380 Halmstad","2014",45331
"1380 Halmstad","2015",46120
"1380 Halmstad","2016",47483
"1380 Halmstad","2017",48543
"1381 Laholm","2008",11177
"1381 Laholm","2009",10788
"1381 Laholm","2010",11061
"1381 Laholm","2011",11478
"1381 Laholm","2012",11473
"1381 Laholm","2013",11335
"1381 Laholm","2014",11423
"1381 Laholm","2015",11637
"1381 Laholm","2016",11813
"1381 Laholm","2017",12094
"1382 Falkenberg","2008",19495
"1382 Falkenberg","2009",19062
"1382 Falkenberg","2010",19506
"1382 Falkenberg","2011",20259
"1382 Falkenberg","2012",20520
"1382 Falkenberg","2013",20631
"1382 Falkenberg","2014",20791
"1382 Falkenberg","2015",20995
"1382 Falkenberg","2016",21332
"1382 Falkenberg","2017",21725
"1383 Varberg","2008",28451
"1383 Varberg","2009",28115
"1383 Varberg","2010",28771
"1383 Varberg","2011",29599
"1383 Varberg","2012",30073
"1383 Varberg","2013",30383
"1383 Varberg","2014",30522
"1383 Varberg","2015",30939
"1383 Varberg","2016",31301
"1383 Varberg","2017",31893
"1384 Kungsbacka","2008",36565
"1384 Kungsbacka","2009",36127
"1384 Kungsbacka","2010",36939
"1384 Kungsbacka","2011",38161
"1384 Kungsbacka","2012",38814
"1384 Kungsbacka","2013",39204
"1384 Kungsbacka","2014",39399
"1384 Kungsbacka","2015",40190
"1384 Kungsbacka","2016",41162
"1384 Kungsbacka","2017",42198
"1401 Härryda","2008",17060
"1401 Härryda","2009",16662
"1401 Härryda","2010",17194
"1401 Härryda","2011",17598
"1401 Härryda","2012",17866
"1401 Härryda","2013",18158
"1401 Härryda","2014",18372
"1401 Härryda","2015",18638
"1401 Härryda","2016",19050
"1401 Härryda","2017",19329
"1402 Partille","2008",16665
"1402 Partille","2009",16312
"1402 Partille","2010",16890
"1402 Partille","2011",17374
"1402 Partille","2012",17640
"1402 Partille","2013",17865
"1402 Partille","2014",18051
"1402 Partille","2015",18539
"1402 Partille","2016",18854
"1402 Partille","2017",19188
"1407 Öckerö","2008",6075
"1407 Öckerö","2009",5910
"1407 Öckerö","2010",6010
"1407 Öckerö","2011",6132
"1407 Öckerö","2012",6192
"1407 Öckerö","2013",6254
"1407 Öckerö","2014",6226
"1407 Öckerö","2015",6268
"1407 Öckerö","2016",6350
"1407 Öckerö","2017",6447
"1415 Stenungsund","2008",11879
"1415 Stenungsund","2009",11709
"1415 Stenungsund","2010",12003
"1415 Stenungsund","2011",12425
"1415 Stenungsund","2012",12593
"1415 Stenungsund","2013",12641
"1415 Stenungsund","2014",12820
"1415 Stenungsund","2015",12932
"1415 Stenungsund","2016",13211
"1415 Stenungsund","2017",13557
"1419 Tjörn","2008",7368
"1419 Tjörn","2009",7211
"1419 Tjörn","2010",7404
"1419 Tjörn","2011",7572
"1419 Tjörn","2012",7621
"1419 Tjörn","2013",7636
"1419 Tjörn","2014",7665
"1419 Tjörn","2015",7630
"1419 Tjörn","2016",7856
"1419 Tjörn","2017",7942
"1421 Orust","2008",7485
"1421 Orust","2009",7241
"1421 Orust","2010",7325
"1421 Orust","2011",7483
"1421 Orust","2012",7463
"1421 Orust","2013",7362
"1421 Orust","2014",7280
"1421 Orust","2015",7267
"1421 Orust","2016",7353
"1421 Orust","2017",7413
"1427 Sotenäs","2008",4279
"1427 Sotenäs","2009",4173
"1427 Sotenäs","2010",4188
"1427 Sotenäs","2011",4269
"1427 Sotenäs","2012",4288
"1427 Sotenäs","2013",4252
"1427 Sotenäs","2014",4184
"1427 Sotenäs","2015",4286
"1427 Sotenäs","2016",4342
"1427 Sotenäs","2017",4367
"1430 Munkedal","2008",4696
"1430 Munkedal","2009",4515
"1430 Munkedal","2010",4557
"1430 Munkedal","2011",4728
"1430 Munkedal","2012",4776
"1430 Munkedal","2013",4784
"1430 Munkedal","2014",4776
"1430 Munkedal","2015",4782
"1430 Munkedal","2016",4927
"1430 Munkedal","2017",4952
"1435 Tanum","2008",5790
"1435 Tanum","2009",5616
"1435 Tanum","2010",5780
"1435 Tanum","2011",5986
"1435 Tanum","2012",6005
"1435 Tanum","2013",5994
"1435 Tanum","2014",5931
"1435 Tanum","2015",6033
"1435 Tanum","2016",6095
"1435 Tanum","2017",6122
"1438 Dals-Ed","2008",2154
"1438 Dals-Ed","2009",2036
"1438 Dals-Ed","2010",2083
"1438 Dals-Ed","2011",2155
"1438 Dals-Ed","2012",2161
"1438 Dals-Ed","2013",2175
"1438 Dals-Ed","2014",2158
"1438 Dals-Ed","2015",2173
"1438 Dals-Ed","2016",2161
"1438 Dals-Ed","2017",2199
"1439 Färgelanda","2008",3110
"1439 Färgelanda","2009",2894
"1439 Färgelanda","2010",2953
"1439 Färgelanda","2011",3109
"1439 Färgelanda","2012",3097
"1439 Färgelanda","2013",3079
"1439 Färgelanda","2014",3020
"1439 Färgelanda","2015",3035
"1439 Färgelanda","2016",3107
"1439 Färgelanda","2017",3157
"1440 Ale","2008",13561
"1440 Ale","2009",13049
"1440 Ale","2010",13201
"1440 Ale","2011",13575
"1440 Ale","2012",13797
"1440 Ale","2013",13934
"1440 Ale","2014",14063
"1440 Ale","2015",14467
"1440 Ale","2016",15032
"1440 Ale","2017",15443
"1441 Lerum","2008",18954
"1441 Lerum","2009",18473
"1441 Lerum","2010",18940
"1441 Lerum","2011",19275
"1441 Lerum","2012",19509
"1441 Lerum","2013",19649
"1441 Lerum","2014",19864
"1441 Lerum","2015",20260
"1441 Lerum","2016",20587
"1441 Lerum","2017",21026
"1442 Vårgårda","2008",5493
"1442 Vårgårda","2009",5296
"1442 Vårgårda","2010",5395
"1442 Vårgårda","2011",5554
"1442 Vårgårda","2012",5600
"1442 Vårgårda","2013",5602
"1442 Vårgårda","2014",5580
"1442 Vårgårda","2015",5658
"1442 Vårgårda","2016",5761
"1442 Vårgårda","2017",5909
"1443 Bollebygd","2008",4256
"1443 Bollebygd","2009",4066
"1443 Bollebygd","2010",4177
"1443 Bollebygd","2011",4278
"1443 Bollebygd","2012",4388
"1443 Bollebygd","2013",4406
"1443 Bollebygd","2014",4435
"1443 Bollebygd","2015",4477
"1443 Bollebygd","2016",4692
"1443 Bollebygd","2017",4758
"1444 Grästorp","2008",2824
"1444 Grästorp","2009",2706
"1444 Grästorp","2010",2742
"1444 Grästorp","2011",2763
"1444 Grästorp","2012",2759
"1444 Grästorp","2013",2746
"1444 Grästorp","2014",2743
"1444 Grästorp","2015",2795
"1444 Grästorp","2016",2842
"1444 Grästorp","2017",2864
"1445 Essunga","2008",2780
"1445 Essunga","2009",2604
"1445 Essunga","2010",2650
"1445 Essunga","2011",2707
"1445 Essunga","2012",2717
"1445 Essunga","2013",2710
"1445 Essunga","2014",2663
"1445 Essunga","2015",2732
"1445 Essunga","2016",2737
"1445 Essunga","2017",2787
"1446 Karlsborg","2008",3131
"1446 Karlsborg","2009",3040
"1446 Karlsborg","2010",3074
"1446 Karlsborg","2011",3169
"1446 Karlsborg","2012",3239
"1446 Karlsborg","2013",3240
"1446 Karlsborg","2014",3203
"1446 Karlsborg","2015",3148
"1446 Karlsborg","2016",3203
"1446 Karlsborg","2017",3247
"1447 Gullspång","2008",2296
"1447 Gullspång","2009",2185
"1447 Gullspång","2010",2216
"1447 Gullspång","2011",2292
"1447 Gullspång","2012",2261
"1447 Gullspång","2013",2242
"1447 Gullspång","2014",2190
"1447 Gullspång","2015",2163
"1447 Gullspång","2016",2194
"1447 Gullspång","2017",2200
"1452 Tranemo","2008",5923
"1452 Tranemo","2009",5562
"1452 Tranemo","2010",5674
"1452 Tranemo","2011",5829
"1452 Tranemo","2012",5808
"1452 Tranemo","2013",5763
"1452 Tranemo","2014",5762
"1452 Tranemo","2015",5793
"1452 Tranemo","2016",5879
"1452 Tranemo","2017",5967
"1460 Bengtsfors","2008",4188
"1460 Bengtsfors","2009",4020
"1460 Bengtsfors","2010",4113
"1460 Bengtsfors","2011",4263
"1460 Bengtsfors","2012",4206
"1460 Bengtsfors","2013",4195
"1460 Bengtsfors","2014",4154
"1460 Bengtsfors","2015",4144
"1460 Bengtsfors","2016",4195
"1460 Bengtsfors","2017",4260
"1461 Mellerud","2008",4042
"1461 Mellerud","2009",3743
"1461 Mellerud","2010",3757
"1461 Mellerud","2011",3910
"1461 Mellerud","2012",3893
"1461 Mellerud","2013",3876
"1461 Mellerud","2014",3902
"1461 Mellerud","2015",3958
"1461 Mellerud","2016",4032
"1461 Mellerud","2017",4113
"1462 Lilla Edet","2008",6062
"1462 Lilla Edet","2009",5864
"1462 Lilla Edet","2010",5894
"1462 Lilla Edet","2011",6026
"1462 Lilla Edet","2012",6056
"1462 Lilla Edet","2013",6157
"1462 Lilla Edet","2014",6249
"1462 Lilla Edet","2015",6381
"1462 Lilla Edet","2016",6749
"1462 Lilla Edet","2017",6976
"1463 Mark","2008",16159
"1463 Mark","2009",15571
"1463 Mark","2010",15924
"1463 Mark","2011",16218
"1463 Mark","2012",16362
"1463 Mark","2013",16347
"1463 Mark","2014",16356
"1463 Mark","2015",16531
"1463 Mark","2016",16849
"1463 Mark","2017",17110
"1465 Svenljunga","2008",4960
"1465 Svenljunga","2009",4738
"1465 Svenljunga","2010",4836
"1465 Svenljunga","2011",5018
"1465 Svenljunga","2012",4932
"1465 Svenljunga","2013",4983
"1465 Svenljunga","2014",4959
"1465 Svenljunga","2015",4989
"1465 Svenljunga","2016",5133
"1465 Svenljunga","2017",5148
"1466 Herrljunga","2008",4540
"1466 Herrljunga","2009",4358
"1466 Herrljunga","2010",4461
"1466 Herrljunga","2011",4603
"1466 Herrljunga","2012",4598
"1466 Herrljunga","2013",4612
"1466 Herrljunga","2014",4639
"1466 Herrljunga","2015",4667
"1466 Herrljunga","2016",4712
"1466 Herrljunga","2017",4759
"1470 Vara","2008",7735
"1470 Vara","2009",7305
"1470 Vara","2010",7418
"1470 Vara","2011",7679
"1470 Vara","2012",7662
"1470 Vara","2013",7609
"1470 Vara","2014",7472
"1470 Vara","2015",7592
"1470 Vara","2016",7734
"1470 Vara","2017",7861
"1471 Götene","2008",6466
"1471 Götene","2009",6271
"1471 Götene","2010",6315
"1471 Götene","2011",6401
"1471 Götene","2012",6387
"1471 Götene","2013",6260
"1471 Götene","2014",6229
"1471 Götene","2015",6346
"1471 Götene","2016",6431
"1471 Götene","2017",6503
"1472 Tibro","2008",4897
"1472 Tibro","2009",4598
"1472 Tibro","2010",4676
"1472 Tibro","2011",4822
"1472 Tibro","2012",4824
"1472 Tibro","2013",4819
"1472 Tibro","2014",4782
"1472 Tibro","2015",4783
"1472 Tibro","2016",4924
"1472 Tibro","2017",5089
"1473 Töreboda","2008",4137
"1473 Töreboda","2009",3931
"1473 Töreboda","2010",3972
"1473 Töreboda","2011",4109
"1473 Töreboda","2012",4083
"1473 Töreboda","2013",4095
"1473 Töreboda","2014",4031
"1473 Töreboda","2015",4110
"1473 Töreboda","2016",4179
"1473 Töreboda","2017",4230
"1480 Göteborg","2008",243723
"1480 Göteborg","2009",235296
"1480 Göteborg","2010",243107
"1480 Göteborg","2011",250450
"1480 Göteborg","2012",255998
"1480 Göteborg","2013",259716
"1480 Göteborg","2014",263430
"1480 Göteborg","2015",271637
"1480 Göteborg","2016",280435
"1480 Göteborg","2017",286749
"1481 Mölndal","2008",30480
"1481 Mölndal","2009",29851
"1481 Mölndal","2010",30528
"1481 Mölndal","2011",30976
"1481 Mölndal","2012",31425
"1481 Mölndal","2013",31673
"1481 Mölndal","2014",32229
"1481 Mölndal","2015",32852
"1481 Mölndal","2016",33788
"1481 Mölndal","2017",34924
"1482 Kungälv","2008",20344
"1482 Kungälv","2009",19918
"1482 Kungälv","2010",20508
"1482 Kungälv","2011",21052
"1482 Kungälv","2012",21262
"1482 Kungälv","2013",21470
"1482 Kungälv","2014",21405
"1482 Kungälv","2015",21765
"1482 Kungälv","2016",22233
"1482 Kungälv","2017",22767
"1484 Lysekil","2008",6644
"1484 Lysekil","2009",6389
"1484 Lysekil","2010",6477
"1484 Lysekil","2011",6551
"1484 Lysekil","2012",6613
"1484 Lysekil","2013",6645
"1484 Lysekil","2014",6503
"1484 Lysekil","2015",6521
"1484 Lysekil","2016",6586
"1484 Lysekil","2017",6627
"1485 Uddevalla","2008",24113
"1485 Uddevalla","2009",23306
"1485 Uddevalla","2010",23835
"1485 Uddevalla","2011",24364
"1485 Uddevalla","2012",24682
"1485 Uddevalla","2013",24726
"1485 Uddevalla","2014",24858
"1485 Uddevalla","2015",25442
"1485 Uddevalla","2016",26221
"1485 Uddevalla","2017",26711
"1486 Strömstad","2008",5281
"1486 Strömstad","2009",5306
"1486 Strömstad","2010",5371
"1486 Strömstad","2011",5526
"1486 Strömstad","2012",5642
"1486 Strömstad","2013",5688
"1486 Strömstad","2014",5637
"1486 Strömstad","2015",5736
"1486 Strömstad","2016",5850
"1486 Strömstad","2017",5898
"1487 Vänersborg","2008",17353
"1487 Vänersborg","2009",16328
"1487 Vänersborg","2010",16672
"1487 Vänersborg","2011",16816
"1487 Vänersborg","2012",16942
"1487 Vänersborg","2013",16952
"1487 Vänersborg","2014",16937
"1487 Vänersborg","2015",17287
"1487 Vänersborg","2016",17724
"1487 Vänersborg","2017",18137
"1488 Trollhättan","2008",25114
"1488 Trollhättan","2009",23715
"1488 Trollhättan","2010",24158
"1488 Trollhättan","2011",24373
"1488 Trollhättan","2012",24777
"1488 Trollhättan","2013",24547
"1488 Trollhättan","2014",25012
"1488 Trollhättan","2015",25629
"1488 Trollhättan","2016",26458
"1488 Trollhättan","2017",27247
"1489 Alingsås","2008",18205
